Company,Landed Date,Capital Investment,Incentivized Jobs, New Jobs ,Project Type,County,County Tier,FJTAP,FIDP,ED,Grants Total
Williams Food Works and Distribution LLC,1/26/2017,"$37,000,000 ",226,226,Expansion New Location,Obion,3,,"$417,000 ","$1,843,000 ","$2,260,000 "
Flex Ltd.,6/30/2018,"$5,605,000 ",300,300,Expansion New Location,Shelby,2,"$750,000 ",,"$1,500,000 ","$2,250,000 "
Vonore Fiber Products LLC,12/6/2023,"$346,000,000 ",231,231,Expansion,Monroe,3,,,"$2,250,000 ","$2,250,000 "
"Dong-A USA, Inc.",5/1/2018,"$11,720,000 ",220,220,Recruitment,Weakley,3,,,"$2,200,000 ","$2,200,000 "
Sinova Silicon LLC,12/7/2021,"$150,000,000 ",0,140,Recruitment,Lake,4,,,"$2,200,000 ","$2,200,000 "
"Moldex-Metric, Inc.",9/29/2020,"$25,250,000 ",220,220,Recruitment,Wilson,1,"$2,125,000 ",,,"$2,125,000 "
"Chewy, Inc.",7/20/2021,"$100,000,000 ","1,200",1200,Recruitment,Wilson,1,,,"$2,100,000 ","$2,100,000 "
Hormann LLC,10/5/2017,"$63,750,000 ",204,204,Recruitment,White,3,,"$910,000 ","$1,130,000 ","$2,040,000 "
"CKE Restaurants, Inc.",4/27/2016,"$5,400,000 ",126,126,Recruitment,Williamson,1,,,"$2,016,000 ","$2,016,000 "
"Amazon.com Services, Inc.",1/27/2020,"$200,000,000 ","1,000",1000,Expansion New Location,Shelby,2,,,"$2,000,000 ","$2,000,000 "
"Amazon.com Services, Inc.",7/24/2020,"$250,000,000 ","1,000",1000,Expansion New Location,Wilson,1,,,"$2,000,000 ","$2,000,000 "
"August Bioservices, LLC",11/18/2020,"$64,748,000 ",181,181,Expansion,Davidson,1,,,"$2,000,000 ","$2,000,000 "
Babynov USA LLC,10/16/2020,"$44,900,000 ",147,147,Recruitment,Macon,3,,,"$2,000,000 ","$2,000,000 "
"Cannon Automotive Solutions - Bowling Green, Inc.",9/30/2020,"$114,000,000 ",197,197,Recruitment,Bradley,2,,,"$2,000,000 ","$2,000,000 "
"Charles River Laboratories, Inc.",1/31/2021,"$45,000,000 ",500,500,Expansion,Shelby,2,"$2,000,000 ",,,"$2,000,000 "
Enchem America Inc.,6/26/2023,"$152,500,000 ",190,190,Recruitment,Haywood,4,,,"$2,000,000 ","$2,000,000 "
"England, Inc.",2/16/2018,"$31,800,000 ",202,202,Expansion,Claiborne,4,"$800,000 ",,"$1,200,000 ","$2,000,000 "
"Formulated Solutions Cleveland, LLC",3/7/2023,"$43,672,000 ",380,380,Recruitment,Bradley,2,,,"$2,000,000 ","$2,000,000 "
"IMC Companies, LLC",10/6/2021,"$3,350,000 ",158,158,Expansion,Shelby,2,,,"$2,000,000 ","$2,000,000 "
Kilgore Flares Company,5/15/2018,"$40,038,000 ",97,97,Expansion,Hardeman,4,,,"$2,000,000 ","$2,000,000 "
"The Lampo Group, LLC",6/22/2020,"$52,423,000 ",599,599,Expansion,Williamson,1,,,"$2,000,000 ","$2,000,000 "
LKQ Corporation,1/17/2017,"$26,000,000 ",150,150,Expansion,Davidson,1,,,"$1,950,000 ","$1,950,000 "
"Gold Creek Foods, LLC",10/26/2022,"$15,000,000 ",218,218,Recruitment,Campbell,4,,,"$1,862,810 ","$1,862,810 "
Monogram Assembled Foods LLC,2/3/2022,"$53,500,000 ",393,393,Expansion New Location,Dickson,1,"$1,825,000 ",,,"$1,825,000 "
"Crown Laboratories, Inc.",9/28/2019,"$27,000,000 ",216,216,Expansion,Washington,1,,,"$1,800,000 ","$1,800,000 "
Iatric Manufacturing Solutions LLC,3/30/2017,"$40,300,000 ",250,250,Recruitment,Hamblen,3,"$200,000 ",,"$1,600,000 ","$1,800,000 "
Nidec Motor Company,6/15/2018,"$18,740,000 ",301,301,Expansion,Henderson,3,"$800,000 ",,"$1,000,000 ","$1,800,000 "
"Gestamp Chattanooga, LLC",11/24/2020,"$60,041,093 ",260,260,Expansion,Hamilton,1,,,"$1,775,000 ","$1,775,000 "
MTD Consumer Group Inc.,7/17/2018,"$10,000,000 ",200,200,Expansion,Weakley,3,"$760,000 ",,"$1,000,000 ","$1,760,000 "
"6K Energy Tennessee, LLC",4/18/2023,"$166,388,932 ",230,230,Recruitment,Madison,2,,,"$1,750,000 ","$1,750,000 "
Caymas Boats LLC,11/19/2018,"$30,300,000 ",283,283,New Startup,Cheatham,1,"$283,000 ",,"$1,467,000 ","$1,750,000 "
"Dot Foods, Inc.",4/5/2022,"$50,472,500 ",171,171,Expansion New Location,Coffee,2,,,"$1,750,000 ","$1,750,000 "
Grammer,1/20/2016,"$20,000,000 ",250,250,Recruitment,Lincoln,1,"$195,000 ",,"$1,555,000 ","$1,750,000 "
"TechnologyAdvice, LLC",7/18/2022,"$2,725,000 ",350,350,Expansion,Davidson,1,"$1,750,000 ",,,"$1,750,000 "
uLab Systems,10/31/2021,"$30,731,000 ",231,231,Expansion,Shelby,2,,,"$1,750,000 ","$1,750,000 "
"Florim USA, Inc.",9/22/2021,"$36,000,000 ",224,35,Expansion,Montgomery,1,,,"$1,700,000 ","$1,700,000 "
"LG Electronics U.S.A., Inc.",4/14/2021,"$20,500,000 ",334,334,Expansion,Montgomery,1,"$1,670,000 ",,,"$1,670,000 "
Amazon.com Services LLC,2/3/2021,"$200,000,000 ",800,800,Expansion New Location,Blount,1,,,"$1,600,000 ","$1,600,000 "
Thomas & Betts Corporation,7/14/2017,"$20,750,000 ",0,89,Expansion New Location,Shelby,2,,,"$1,600,000 ","$1,600,000 "
Sedgwick CMS Holdings Inc.,2/20/2017,"$76,161,618 ",150,150,Expansion New Location,Shelby,2,,,"$1,575,000 ","$1,575,000 "
Tritium Technologies LLC,2/8/2022,"$15,287,148 ",778,510,Recruitment,Wilson,1,"$1,556,000 ",,,"$1,556,000 "
"Access Dental Lab TX, LLC",9/17/2020,"$34,100,000 ",630,630,Expansion New Location,Maury,1,,,"$1,500,000 ","$1,500,000 "
Arconic Tennessee LLC,8/13/2021,"$108,731,783 ",200,200,Expansion,Blount,1,,,"$1,500,000 ","$1,500,000 "
Arrowhead Engineered Products,2/1/2023,"$19,479,800 ",414,414,Recruitment,Robertson,1,"$1,500,000 ",,,"$1,500,000 "
Custom Foods of America Inc.,12/13/2023,"$51,039,000 ",249,249,Expansion,Knox,1,,,"$1,500,000 ","$1,500,000 "
"Domtar Paper Company, LLC",8/7/2020,"$320,000,000 ",137,137,Expansion,Sullivan,2,,,"$1,500,000 ","$1,500,000 "
Eastman Chemical Company,1/29/2021,"$270,000,000 ",85,0,Expansion,Sullivan,2,"$1,500,000 ",,,"$1,500,000 "
Huber Engineered Woods LLC,11/4/2016,"$54,900,000 ",141,141,Expansion,Rhea,4,,,"$1,500,000 ","$1,500,000 "
"LabConnect, Inc.",4/4/2020,"$8,650,000 ",211,211,Expansion,Washington,1,,,"$1,500,000 ","$1,500,000 "
Protomet Corporation,6/27/2017,"$29,343,000 ",200,200,Expansion New Location,Loudon,1,,,"$1,500,000 ","$1,500,000 "
Sese Industrial Services US Corp,2/4/2021,"$42,077,599 ",240,240,Expansion New Location,Hamilton,1,,,"$1,500,000 ","$1,500,000 "
Shaw Industries,10/20/2017,"$42,000,000 ",75,75,Expansion,Meigs,4,,,"$1,500,000 ","$1,500,000 "
Gr‰nges Americas Inc,1/31/2017,"$360,000,000 ",0,375,Expansion,Carroll,4,,,"$1,375,000 ","$1,375,000 "
"Bridgetown Natural Foods, LLC",3/20/2024,"$78,267,009 ",219,219,Recruitment,Wilson,1,"$1,314,000 ",,,"$1,314,000 "
"Summertown Metals, LLC",12/20/2022,"$10,976,000 ",197,197,Expansion New Location,Lewis,4,,,"$1,300,000 ","$1,300,000 "
"Western Express, Inc.",4/30/2019,"$88,000,000 ",225,225,Expansion,Davidson,1,,,"$1,300,000 ","$1,300,000 "
"iHeart Media + Entertainment, Inc.",10/31/2021,"$2,850,000 ",180,180,Recruitment,Davidson,1,,,"$1,250,000 ","$1,250,000 "
"JMG Thermal, LLC",11/16/2021,"$16,050,000 ",155,155,New Startup,Henderson,3,,,"$1,250,000 ","$1,250,000 "
Kaiser Aluminum Investments Company,7/29/2021,"$3,450,000 ",80,80,Recruitment,Williamson,1,,,"$1,250,000 ","$1,250,000 "
McKee Foods Corporation,3/10/2020,"$225,000,000 ",125,125,Expansion,Hamilton,1,,,"$1,250,000 ","$1,250,000 "
"QTC Management, Inc.",6/16/2020,"$5,100,000 ",412,412,Recruitment,Davidson,1,,,"$1,250,000 ","$1,250,000 "
"Schneider Electric USA, Inc.",7/13/2016,"$37,000,000 ",250,250,Expansion New Location,Williamson,1,,,"$1,250,000 ","$1,250,000 "
"TeamHealth, Inc.",5/9/2016,"$6,675,000 ",250,250,Expansion New Location,Knox,1,,,"$1,250,000 ","$1,250,000 "
JNJ Express,2/26/2019,"$83,575,000 ",0,610,Expansion New Location,Shelby,2,,,"$1,220,000 ","$1,220,000 "
A.O. Smith Corporation,1/31/2016,"$35,847,016 ",150,53,Expansion,Cheatham,1,,,"$1,213,650 ","$1,213,650 "
Lodge Manufacturing Company,10/22/2021,"$55,892,342 ",239,239,Expansion,Marion,3,,,"$1,210,000 ","$1,210,000 "
"Southern Champion Tray, L.P.",8/11/2020,"$84,860,550 ",120,120,Expansion New Location,Hamilton,1,,,"$1,200,000 ","$1,200,000 "
Forward Air Inc,8/3/2016,"$4,298,250 ",105,105,Expansion,Greene,3,,,"$1,155,000 ","$1,155,000 "
Develey,3/10/2016,"$20,000,000 ",150,150,Recruitment,Dyer,2,,"$184,000 ","$941,000 ","$1,125,000 "
"Nippon Paint Automotive Americas, Inc.",9/23/2019,"$61,000,000 ",150,150,Recruitment,Hamilton,1,,,"$1,125,000 ","$1,125,000 "
"Recreational Equipment, Inc.",1/12/2022,"$108,550,000 ",288,288,Recruitment,Wilson,1,,,"$1,100,000 ","$1,100,000 "
"Evergreen Packaging, Inc.",5/6/2016,"$1,150,000 ",0,70,Expansion New Location,Shelby,2,,,"$1,050,000 ","$1,050,000 "
NYX Linden LLC,3/16/2023,"$10,385,000 ",137,137,Expansion,Perry,4,,,"$1,027,500 ","$1,027,500 "
"Advanex Americas, Inc.",6/8/2021,"$17,000,000 ",102,102,Recruitment,Robertson,1,,,"$1,000,000 ","$1,000,000 "
Amazon.com Services LLC,8/18/2021,"$100,000,000 ",500,500,Expansion New Location,Montgomery,1,,,"$1,000,000 ","$1,000,000 "
"Aphena Pharma Solutions - Tennessee, LLC",9/15/2020,"$21,000,000 ",160,160,Expansion,Putnam,2,,,"$1,000,000 ","$1,000,000 "
"August Bioservices, LLC",9/30/2023,"$65,000,000 ",90,90,Expansion,Davidson,1,,,"$1,000,000 ","$1,000,000 "
Automation Tool Company,8/18/2016,"$10,417,459 ",110,110,Expansion,Putnam,2,,,"$1,000,000 ","$1,000,000 "
Choate Engineering Performance,3/19/2021,"$8,000,000 ",100,100,New Startup,Hardeman,4,,,"$1,000,000 ","$1,000,000 "
Energybox Inc,6/30/2022,"$1,739,000 ",250,265,Recruitment,Davidson,1,"$1,000,000 ",,,"$1,000,000 "
Excel Boat Company,12/4/2018,"$5,705,000 ",170,170,Recruitment,Obion,3,,,"$1,000,000 ","$1,000,000 "
Frazier Industrial Company,5/4/2017,"$17,350,000 ",120,120,Expansion New Location,Dyer,2,,,"$1,000,000 ","$1,000,000 "
Genesco Inc.,2/10/2020,"$31,350,000 ",60,60,Expansion New Location,Davidson,1,,,"$1,000,000 ","$1,000,000 "
Harry's Fresh Foods,4/20/2016,"$34,300,000 ",302,302,Recruitment,Davidson,1,"$50,000 ",,"$950,000 ","$1,000,000 "
Hirotec Manufacturing America LLC,12/17/2018,"$41,000,000 ",110,110,Recruitment,Lincoln,1,,,"$1,000,000 ","$1,000,000 "
HUBNER Manufacturing Corporation,3/6/2019,"$11,640,590 ",135,135,Recruitment,Sequatchie,4,,,"$1,000,000 ","$1,000,000 "
iFixit,7/19/2022,"$24,250,000 ",201,201,Recruitment,Hamilton,1,,,"$1,000,000 ","$1,000,000 "
JC Ford Co,5/6/2021,"$10,500,000 ",210,210,Recruitment,Maury,1,,,"$1,000,000 ","$1,000,000 "
Kordsa Inc.,4/18/2023,"$50,000,000 ",200,200,Expansion,Hamilton,1,,,"$1,000,000 ","$1,000,000 "
Mullican Flooring,8/3/2016,"$15,000,000 ",200,200,Expansion,Washington,1,,,"$1,000,000 ","$1,000,000 "
Olympus America Inc.,1/28/2016,"$11,500,000 ",149,149,Expansion New Location,Shelby,2,"$250,000 ",,"$750,000 ","$1,000,000 "
"PlastiExports, Newco Inc",6/1/2020,"$6,195,000 ",118,118,Recruitment,Unicoi,3,,,"$1,000,000 ","$1,000,000 "
"Saxco International, LLC",12/31/2022,"$2,515,000 ",100,100,Recruitment,Williamson,1,"$1,000,000 ",,,"$1,000,000 "
"Stanley Black and Decker, Inc.",6/8/2017,"$29,117,899 ",256,256,Expansion,Madison,2,,,"$1,000,000 ","$1,000,000 "
"Symmco, Incorporated",8/30/2022,"$13,137,250 ",86,86,Recruitment,Hawkins,4,,,"$1,000,000 ","$1,000,000 "
The Kroger Co.,8/21/2023,"$40,000,000 ",140,140,Recruitment,Bradley,2,,,"$1,000,000 ","$1,000,000 "
"TwelveStone Health Partners, Inc.",2/16/2016,"$14,900,000 ",200,200,Recruitment,Rutherford,1,,,"$1,000,000 ","$1,000,000 "
Warner Music Group,10/28/2016,"$30,000,000 ",175,171,Recruitment,Davidson,1,,,"$1,000,000 ","$1,000,000 "
Memphis Record Pressing,3/31/2022,"$7,676,194 ",282,282,Expansion New Location,Shelby,2,"$987,000 ",,,"$987,000 "
"HealthVerve Food Manufacturing USA, Inc.",12/15/2022,"$2,200,000 ",212,212,Expansion New Location,Overton,3,"$954,000 ",,,"$954,000 "
VP Racing Fuels,2/14/2019,"$4,610,000 ",150,40,Recruitment,Carroll,4,,,"$942,500 ","$942,500 "
"MCP TN, LLC",4/19/2021,"$48,060,978 ",261,261,Expansion,Fayette,1,,,"$900,000 ","$900,000 "
"NewBasis, LLC",12/14/2023,"$16,287,000 ",249,249,Recruitment,Wilson,1,,,"$900,000 ","$900,000 "
Titan Medical Manufacturing LLC,4/26/2019,"$7,500,000 ",87,87,Expansion New Location,Henderson,3,,"$149,900 ","$750,000 ","$899,900 "
"Nashville Record Pressing, LLC",4/19/2022,"$13,345,000 ",255,255,Expansion New Location,Davidson,1,"$892,500 ",,,"$892,500 "
"Barrette Outdoor Living, Inc.",7/8/2021,"$33,000,000 ",162,162,Expansion,Hawkins,4,,,"$874,800 ","$874,800 "
La-Z-Boy Manufacturing Inc.,2/2/2017,"$42,477,179 ",115,115,Expansion New Location,Rhea,4,,,"$862,000 ","$862,000 "
"Apricity Resources, LLC",10/17/2016,"$2,191,000 ",215,215,Expansion New Location,Davidson,1,,,"$860,000 ","$860,000 "
Faurecia Interior Systems,10/27/2021,"$18,000,000 ",171,171,Expansion,Maury,1,,,"$855,000 ","$855,000 "
Sungwoo Hitech America Corp,8/25/2021,"$40,000,000 ",117,117,Recruitment,Washington,1,,,"$850,000 ","$850,000 "
"Script2U, LLC",11/30/2019,"$18,500,000 ",83,83,Expansion New Location,Shelby,2,,,"$830,000 ","$830,000 "
Associated Pathologists,6/13/2017,"$30,000,000 ",209,209,Recruitment,Williamson,1,,,"$828,000 ","$828,000 "
"Petoskey Plastics, Inc.",5/6/2018,"$29,607,466 ",71,71,Expansion,Hamblen,3,"$71,000 ","$750,000 ",,"$821,000 "
Royal Canin US,3/16/2021,"$205,656,000 ",92,92,Expansion,Wilson,1,,,"$815,000 ","$815,000 "
Virnig Manufacturing Inc.,11/1/2021,"$11,583,500 ",70,74,Recruitment,Bledsoe,4,,,"$810,000 ","$810,000 "
"ebm-papst, Inc.",5/16/2019,"$37,320,000 ",200,200,Recruitment,Washington,1,,,"$800,000 ","$800,000 "
Highland Ventures Ltd.,7/25/2022,"$8,250,000 ",80,80,Recruitment,Williamson,1,"$800,000 ",,,"$800,000 "
"Electric Research and Manufacturing Cooperative, Inc.",9/17/2019,"$12,000,000 ",150,150,Expansion New Location,Dyer,2,"$790,000 ",,,"$790,000 "
Lodge Manufacturing Company,6/20/2016,"$78,543,031 ",158,158,Expansion,Marion,3,,,"$790,000 ","$790,000 "
"Pilot.com, Inc.",6/25/2019,"$6,260,000 ",455,455,Recruitment,Davidson,1,"$773,500 ",,,"$773,500 "
"CKE Restaurants, Inc.",6/28/2018,"$3,580,000 ",145,145,Expansion,Williamson,1,,,"$750,000 ","$750,000 "
"Confluent Medical Technologies, Inc",12/9/2020,"$8,338,000 ",79,79,Recruitment,Hamilton,1,,,"$750,000 ","$750,000 "
Fuel Total Systems Kentucky Corporation,10/31/2018,"$60,910,000 ",75,150,Recruitment,Maury,1,"$750,000 ",,,"$750,000 "
"Gestamp Chattanooga, LLC",3/18/2019,"$40,840,071 ",110,95,Expansion,Hamilton,1,,,"$750,000 ","$750,000 "
"KaTom Restaurant Supply, Inc.",3/25/2022,"$7,450,000 ",120,120,Expansion,Sevier,2,,,"$750,000 ","$750,000 "
Mimeo.com,11/19/2018,"$16,000,000 ",184,300,Expansion,Shelby,2,"$750,000 ",,,"$750,000 "
Pandrol North America,5/13/2019,"$8,250,000 ",96,96,Recruitment,Shelby,2,,,"$750,000 ","$750,000 "
"Troy Industries, Inc.",5/13/2021,"$7,186,200 ",75,75,Expansion New Location,Montgomery,1,,,"$750,000 ","$750,000 "
USAntibiotics,8/30/2021,"$16,030,000 ",63,63,New Startup,Sullivan,2,,,"$750,000 ","$750,000 "
"Valmont Industries, Inc. ",1/25/2021,"$18,995,869 ",65,65,Expansion,Marion,3,,,"$750,000 ","$750,000 "
Prospero Health,9/17/2019,"$1,528,000 ",249,249,New Startup,Shelby,2,,,"$747,000 ","$747,000 "
"United Record Pressing, LLC",4/13/2023,"$8,815,000 ",209,209,Expansion,Davidson,1,"$731,500 ",,,"$731,500 "
Faurecia Interior Systems,8/28/2018,"$17,100,000 ",143,143,Recruitment,Maury,1,"$715,000 ",,,"$715,000 "
"Smith & Nephew, Inc.",10/7/2016,"$81,754,186 ",142,142,Expansion,Shelby,2,"$710,000 ",,,"$710,000 "
Thomas & Betts Corporation,8/5/2018,"$18,000,000 ",71,71,Expansion,McMinn,3,,,"$710,000 ","$710,000 "
